Trial,Strategy,Threshold_Dist,Step,Adoption_Fraction,Final_Fraction,TimeToConverge
0,Degree,Uniform,27,0.436,0.436,15
0,Degree,Uniform,28,0.436,0.436,15
0,Degree,Uniform,29,0.436,0.436,15
0,Degree,Uniform,30,0.436,0.436,15
0,Degree,Uniform,31,0.436,0.436,15
0,Degree,Uniform,32,0.436,0.436,15
0,Degree,Uniform,33,0.436,0.436,15
0,Degree,Uniform,34,0.436,0.436,15
0,Degree,Uniform,35,0.436,0.436,15
0,Degree,Uniform,36,0.436,0.436,15
0,Degree,Uniform,37,0.436,0.436,15
0,Degree,Uniform,38,0.436,0.436,15
0,Degree,Uniform,39,0.436,0.436,15
0,Degree,Uniform,40,0.436,0.436,15
0,Degree,Uniform,41,0.436,0.436,15
0,Degree,Uniform,42,0.436,0.436,15
0,Degree,Uniform,43,0.436,0.436,15
0,Degree,Uniform,44,0.436,0.436,15
0,Degree,Uniform,45,0.436,0.436,15
0,Degree,Uniform,46,0.436,0.436,15
0,Degree,Uniform,47,0.436,0.436,15
0,Degree,Uniform,48,0.436,0.436,15
0,Degree,Uniform,49,0.436,0.436,15
0,Betweenness,Uniform,0,0.01,0.436,15
0,Betweenness,Uniform,1,0.1815,0.436,15
0,Betweenness,Uniform,2,0.269,0.436,15
0,Betweenness,Uniform,3,0.319,0.436,15
0,Betweenness,Uniform,4,0.3605,0.436,15
0,Betweenness,Uniform,5,0.389,0.436,15
0,Betweenness,Uniform,6,0.4005,0.436,15
0,Betweenness,Uniform,7,0.4105,0.436,15
0,Betweenness,Uniform,8,0.4195,0.436,15
0,Betweenness,Uniform,9,0.423,0.436,15
0,Betweenness,Uniform,10,0.424,0.436,15
0,Betweenness,Uniform,11,0.4245,0.436,15
0,Betweenness,Uniform,12,0.4255,0.436,15
0,Betweenness,Uniform,13,0.43,0.436,15
0,Betweenness,Uniform,14,0.4335,0.436,15
0,Betweenness,Uniform,15,0.436,0.436,15
0,Betweenness,Uniform,16,0.436,0.436,15
0,Betweenness,Uniform,17,0.436,0.436,15
0,Betweenness,Uniform,18,0.436,0.436,15
0,Betweenness,Uniform,19,0.436,0.436,15
0,Betweenness,Uniform,20,0.436,0.436,15
0,Betweenness,Uniform,21,0.436,0.436,15
0,Betweenness,Uniform,22,0.436,0.436,15
0,Betweenness,Uniform,23,0.436,0.436,15
0,Betweenness,Uniform,24,0.436,0.436,15
0,Betweenness,Uniform,25,0.436,0.436,15
0,Betweenness,Uniform,26,0.436,0.436,15
0,Betweenness,Uniform,27,0.436,0.436,15
0,Betweenness,Uniform,28,0.436,0.436,15
0,Betweenness,Uniform,29,0.436,0.436,15
0,Betweenness,Uniform,30,0.436,0.436,15
0,Betweenness,Uniform,31,0.436,0.436,15
