Trial,Strategy,Threshold_Dist,Final_Fraction,TimeToConverge
27,Degree,Beta_Low,1.0,6
27,Betweenness,Beta_Low,1.0,6
27,Random,Beta_Mid,0.016,2
27,Degree,Beta_Mid,0.3675,20
27,Betweenness,Beta_Mid,0.3405,9
27,Random,"Beta_High, Normal, Constant_0.4",0.0105,1
27,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
27,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
28,Random,Fixed_0.2,1.0,8
28,Degree,Fixed_0.2,1.0,4
28,Betweenness,Fixed_0.2,1.0,4
28,Random,Uniform,0.0655,8
28,Degree,Uniform,0.4885,15
28,Betweenness,Uniform,0.47,15
28,Random,Beta_Low,1.0,16
28,Degree,Beta_Low,1.0,7
28,Betweenness,Beta_Low,1.0,7
28,Random,Beta_Mid,0.0125,1
28,Degree,Beta_Mid,0.3255,17
28,Betweenness,Beta_Mid,0.3285,18
28,Random,"Beta_High, Normal, Constant_0.4",0.016,2
28,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
28,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
29,Random,Fixed_0.2,1.0,13
29,Degree,Fixed_0.2,1.0,4
29,Betweenness,Fixed_0.2,1.0,4
29,Random,Uniform,0.193,19
29,Degree,Uniform,0.5225,18
29,Betweenness,Uniform,0.507,18
29,Random,Beta_Low,1.0,17
29,Degree,Beta_Low,1.0,7
29,Betweenness,Beta_Low,1.0,7
29,Random,Beta_Mid,0.0185,3
29,Degree,Beta_Mid,0.3085,10
29,Betweenness,Beta_Mid,0.319,10
29,Random,"Beta_High, Normal, Constant_0.4",0.0115,1
29,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
29,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
30,Random,Fixed_0.2,1.0,14
30,Degree,Fixed_0.2,1.0,4
30,Betweenness,Fixed_0.2,1.0,4
30,Random,Uniform,0.0315,5
30,Degree,Uniform,0.476,11
30,Betweenness,Uniform,0.4735,13
30,Random,Beta_Low,1.0,23
30,Degree,Beta_Low,1.0,6
30,Betweenness,Beta_Low,1.0,6
30,Random,Beta_Mid,0.014,1
30,Degree,Beta_Mid,0.414,17
30,Betweenness,Beta_Mid,0.432,19
30,Random,"Beta_High, Normal, Constant_0.4",0.0175,1
30,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
30,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
31,Random,Fixed_0.2,1.0,11
31,Degree,Fixed_0.2,1.0,4
31,Betweenness,Fixed_0.2,1.0,4
31,Random,Uniform,0.1265,16
31,Degree,Uniform,0.503,17
31,Betweenness,Uniform,0.503,16
31,Random,Beta_Low,0.999,18
31,Degree,Beta_Low,0.999,9
31,Betweenness,Beta_Low,0.999,9
31,Random,Beta_Mid,0.0295,3
31,Degree,Beta_Mid,0.4415,17
31,Betweenness,Beta_Mid,0.4225,22
31,Random,"Beta_High, Normal, Constant_0.4",0.0135,1
31,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
31,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
32,Random,Fixed_0.2,1.0,8
32,Degree,Fixed_0.2,1.0,4
32,Betweenness,Fixed_0.2,1.0,4
32,Random,Uniform,0.03,5
32,Degree,Uniform,0.5685,13
32,Betweenness,Uniform,0.5595,13
32,Random,Beta_Low,1.0,16
32,Degree,Beta_Low,1.0,7
32,Betweenness,Beta_Low,1.0,6
32,Random,Beta_Mid,0.015,2
32,Degree,Beta_Mid,0.3355,10
32,Betweenness,Beta_Mid,0.3355,10
32,Random,"Beta_High, Normal, Constant_0.4",0.0105,1
32,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
32,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
33,Random,Fixed_0.2,1.0,9
33,Degree,Fixed_0.2,1.0,4
33,Betweenness,Fixed_0.2,1.0,4
33,Random,Uniform,0.096,9
33,Degree,Uniform,0.511,14
33,Betweenness,Uniform,0.504,14
33,Random,Beta_Low,0.0615,15
33,Degree,Beta_Low,1.0,6
33,Betweenness,Beta_Low,1.0,6
33,Random,Beta_Mid,0.023,4
33,Degree,Beta_Mid,0.331,15
33,Betweenness,Beta_Mid,0.326,12
33,Random,"Beta_High, Normal, Constant_0.4",0.0105,1
33,Degree,"Beta_High, Normal, Constant_0.4",0.252,15
33,Betweenness,"Beta_High, Normal, Constant_0.4",0.2575,15
34,Random,Fixed_0.2,1.0,7
34,Degree,Fixed_0.2,1.0,4
34,Betweenness,Fixed_0.2,1.0,4
34,Random,Uniform,0.0375,7
34,Degree,Uniform,0.4775,17
34,Betweenness,Uniform,0.464,17
34,Random,Beta_Low,0.999,12
34,Degree,Beta_Low,0.999,6
34,Betweenness,Beta_Low,0.999,6
34,Random,Beta_Mid,0.013,2
34,Degree,Beta_Mid,0.261,9
34,Betweenness,Beta_Mid,0.2535,8
